country,city,total_rows,unique_hotels
United States,SAN DIEGO,1,1
United States,SEATTLE,1,1
United States,San Ramon,1,1
United States,Seville (Ohio),1,1
United States,South Houston,1,1
United States,South Pasadena (California),1,1
United States,Spacious Condo Downtown Phoenix,1,1
United States,Studio City (California),1,1
United States,Sunny Isles Beach (Florida),1,1
United States,"Tampa, Florida",1,1
United States,Thornton,1,1
United States,Tolland,1,1
United States,Unincorporated,1,1
United States,Vancouver (Washington),1,1
United States,Venice (California),1,1
United States,Waikiki,1,1
United States,Washington (DC),1,1
United States,Washington (District of Columbia),1,1
United States,"Washington, D.C. (District of Columbia)",1,1
United States,"Washington, D.C.(District Of Columbia)",1,1
United States,Windsor,1,1
United States,Winter Park,1,1
United States,charlotte,1,1
United States,honolulu,1,1
United States,"marina del rey, Los Angeles",1,1
United States,miami little havana,1,1
United States,orlando,1,1
United States,tampa,1,1
United States,venice,1,1
Uruguay,Punta Ballena,1,1
Uzbekistan,Samarkand City,1,1
Uzbekistan,Тashkent,1,1
Vietnam,An Hải,1,1
Vietnam,Cẩm Lệ,1,1
Vietnam,HUE,1,1
Vietnam,Hai Chau,1,1
Vietnam,Hội An,1,1
Vietnam,Khanh Hoa,1,1
Vietnam,"Ngõ 171, đường Cửa Đại, phường Cẩm Châu",1,1
Vietnam,Ngũ Hành Sơn,1,1
Vietnam,Quang Nam,1,1
Vietnam,Son Tra,1,1
Vietnam,Sơn Trà,1,1
Vietnam,TP NHA TRANG,1,1
Vietnam,TP Đà Nẵng,1,1
Vietnam,huế,1,1
Vietnam,Đà Nẵng,1,1
